# depth maps
# file: 'rgbd_dataset_freiburg3_teddy.bag'
# timestamp filename
1341841873.273820 depth/1341841873.273820.png
1341841873.305901 depth/1341841873.305901.png
1341841873.341966 depth/1341841873.341966.png
1341841873.374093 depth/1341841873.374093.png
1341841873.405990 depth/1341841873.405990.png
1341841873.441855 depth/1341841873.441855.png
1341841873.473847 depth/1341841873.473847.png
1341841873.505863 depth/1341841873.505863.png
1341841873.541949 depth/1341841873.541949.png
1341841873.573853 depth/1341841873.573853.png
1341841873.605870 depth/1341841873.605870.png
1341841873.642470 depth/1341841873.642470.png
1341841873.673831 depth/1341841873.673831.png
1341841873.705874 depth/1341841873.705874.png
1341841873.742003 depth/1341841873.742003.png
1341841873.773883 depth/1341841873.773883.png
1341841873.809979 depth/1341841873.809979.png
1341841873.841929 depth/1341841873.841929.png
1341841873.873813 depth/1341841873.873813.png
1341841873.909861 depth/1341841873.909861.png
1341841873.941785 depth/1341841873.941785.png
1341841873.973785 depth/1341841873.973785.png
1341841874.009795 depth/1341841874.009795.png
1341841874.041788 depth/1341841874.041788.png
1341841874.077817 depth/1341841874.077817.png
1341841874.109822 depth/1341841874.109822.png
1341841874.141902 depth/1341841874.141902.png
1341841874.177868 depth/1341841874.177868.png
1341841874.210321 depth/1341841874.210321.png
1341841874.245967 depth/1341841874.245967.png
1341841874.277884 depth/1341841874.277884.png
1341841874.309810 depth/1341841874.309810.png
1341841874.346144 depth/1341841874.346144.png
1341841874.377827 depth/1341841874.377827.png
1341841874.413898 depth/1341841874.413898.png
1341841874.446224 depth/1341841874.446224.png
1341841874.478024 depth/1341841874.478024.png
1341841874.513886 depth/1341841874.513886.png
1341841874.545928 depth/1341841874.545928.png
1341841874.582046 depth/1341841874.582046.png
1341841874.615232 depth/1341841874.615232.png
1341841874.645836 depth/1341841874.645836.png
1341841874.682037 depth/1341841874.682037.png
1341841874.713857 depth/1341841874.713857.png
1341841874.750331 depth/1341841874.750331.png
1341841874.781927 depth/1341841874.781927.png
1341841874.814487 depth/1341841874.814487.png
1341841874.849821 depth/1341841874.849821.png
1341841874.881922 depth/1341841874.881922.png
1341841874.917785 depth/1341841874.917785.png
1341841874.949957 depth/1341841874.949957.png
1341841874.981968 depth/1341841874.981968.png
1341841875.017910 depth/1341841875.017910.png
1341841875.049908 depth/1341841875.049908.png
1341841875.086132 depth/1341841875.086132.png
1341841875.117887 depth/1341841875.117887.png
1341841875.149893 depth/1341841875.149893.png
1341841875.185975 depth/1341841875.185975.png
1341841875.217866 depth/1341841875.217866.png
1341841875.249828 depth/1341841875.249828.png
1341841875.285994 depth/1341841875.285994.png
